ID,Name,Car Plate Number,License Number,Issue Date,Expiry Date,Phone Number,Traffic Code Number,Place of Issue
307-5167-2267950-2,Sara Mohamed,30635,70730,14/11/1997,19/11/2017,531394563,1690823308,Sharjah
291-9716-6058188-2,Khalid Mohamed,43608,61712,10/04/1998,24/03/2017,554978553,1425394041,Sharjah
842-5522-4951200-2,Khalid Alhammadi,45263,63093,15/09/2008,04/07/1998,570051600,1748188173,Abu Dhabi
924-9525-5836065-2,Sara Alhammadi,80145,83322,15/08/2009,08/07/2006,513409889,1661808305,Abu Dhabi
468-9254-2917379-2,Yunus Mohamed,44431,62961,12/07/2003,20/01/2001,574679784,1803958632,Sharjah
677-1566-2084742-2,Khalid Mohamed,94376,59008,07/02/1998,11/12/1999,569389487,1527833444,Sharjah
269-2158-5221983-2,Yunus Mohamed,61310,63080,16/09/1990,27/10/1999,570391783,1216497371,Abu Dhabi
107-5825-2270328-2,Khalid Alhammadi,91856,88063,13/04/2005,19/08/1998,567510227,1900764344,Dubai
730-6925-4781177-2,Sara Alhammadi,44020,68600,07/01/1990,18/05/1996,569635436,1370425814,Dubai
754-9647-9912854-2,Sara Alhammadi,56076,75905,05/01/2010,10/10/2014,538020354,1793371697,Sharjah
237-4892-3275307-2,Khalid Alhammadi,87030,75735,21/04/1991,25/09/1996,503916941,1289380923,Sharjah
119-9307-6798781-2,Sara Alhammadi,80424,66959,05/07/2015,18/12/1993,575703197,1144009944,Abu Dhabi
600-4126-7400949-2,Yunus Ahmed,99449,66535,08/12/1994,07/06/1999,553018212,1647528976,Abu Dhabi
587-7623-3924671-2,Yunus Alhammadi,13166,62755,29/09/2001,09/10/2000,500822202,1890589703,Dubai
635-7198-3434390-2,Khalid Alhammadi,43403,90488,11/08/2019,30/04/2010,546123040,1724047840,Dubai
372-1629-4563151-2,Khalid Alhammadi,40500,70206,29/05/2019,22/08/2014,553401349,1127554560,Sharjah
244-6329-2244223-2,Khalid Alhammadi,28699,55222,28/07/2004,22/02/2004,581799109,1766694521,Dubai
730-8021-3941250-2,Sara Alhammadi,57075,63875,06/06/1999,12/06/2017,529208910,1683619505,Sharjah
366-7954-6056596-2,Sara Alhammadi,13482,72210,30/10/1998,16/10/2007,589042581,1902809079,Dubai
833-9973-2094357-2,Khalid Ahmed,77952,74078,18/02/2006,28/10/2011,555380738,1830017414,Dubai
742-2958-9633944-2,Yunus Mohamed,53911,59309,04/12/2000,05/10/1999,591048937,1634740134,Abu Dhabi
597-8230-9231917-2,Yunus Alhammadi,48266,72936,05/10/1992,07/05/1991,510012963,1968531253,Sharjah
992-7652-8923740-2,Sara Ahmed,36181,50721,10/08/2008,27/04/2008,538270132,1584456122,Dubai
417-8189-6270580-2,Sara Mohamed,31297,98965,27/02/1998,01/02/2015,553436653,1517387878,Abu Dhabi
418-3219-3968070-2,Khalid Mohamed,38296,90880,14/06/2007,22/08/2018,507919183,1756179859,Sharjah
524-5411-9936199-2,Khalid Alhammadi,49367,57313,29/04/1998,01/05/2002,546566619,1664819781,Sharjah
323-9909-5464365-2,Sara Mohamed,40176,76326,11/10/1991,24/01/2012,505143387,1569685392,Abu Dhabi
761-3626-7954464-2,Khalid Alhammadi,41644,68163,02/07/1992,01/09/2005,575642151,1920656017,Abu Dhabi
619-1773-7360440-2,Khalid Ahmed,20339,83479,05/03/1997,27/08/1995,566356576,1319910282,Sharjah
818-4839-3464567-2,Yunus Ahmed,68301,51333,25/08/2005,22/02/1992,505426947,1195649051,Dubai
330-6213-8897818-2,Khalid Alhammadi,32872,50017,29/11/2000,16/11/2000,531289356,1872991510,Sharjah
